iter	RMSE
237	5.737204032
238	5.631285814
239	5.585460294
240	5.531603435
241	5.472561215
242	5.39909713
243	5.382770188
244	5.306845618
245	5.212768552
246	5.197675857
247	5.126338364
248	5.052223086
249	4.950657816
250	4.877505226
251	4.786465684
252	4.717061051
253	4.704457525
254	4.602058611
255	4.587983085
256	4.572861106
257	4.53090975
258	4.518157407
259	4.425925294
260	4.332932354
261	4.249198855
262	4.179338054
263	4.12529499
264	4.053592095
265	4.036476034
266	4.027487599
267	4.014489765
268	3.977241158
269	3.918834277
270	3.871856862
271	3.800827515
272	3.757841519
273	3.722785111
274	3.650523886
275	3.608314497
276	3.561459389
277	3.553285486
278	3.545697972
279	3.482371349
280	3.472547715
281	3.390675311
282	3.379227966
283	3.318221673
284	3.264461107
285	3.21967905
286	3.154984758
287	3.108120399
288	3.080845261
289	3.075299166
290	3.038105881
291	3.016510791
292	2.957936172
293	2.909619981
294	2.877942533
295	2.830558866
296	2.8134235
297	2.805815063
298	2.758717151
299	2.719476497
300	2.660401873
301	2.637109344
302	2.587056225
303	2.548150813
304	2.522112752
305	2.469569753
306	2.435978785
307	2.392148854
308	2.350387207
309	2.320864251
310	2.276932001
311	2.270813678
312	2.24073352
313	2.200296438
314	2.170828123
315	2.131148329
316	2.10934877
317	2.071581353
318	2.021281087
319	2.00496149
320	1.958712156
321	1.922811873
322	1.899923177
323	1.880302481
324	1.877509208
325	1.857193512
326	1.843739376
327	1.812825416
328	1.79164672
329	1.750976592
330	1.718003189
331	1.6877463
332	1.654085471
333	1.61693175
334	1.587676902
335	1.569759275
336	1.555237338
337	1.539211582
338	1.509263851
339	1.484745898
340	1.470711869
341	1.451756185
342	1.426394415
343	1.409422769
344	1.405060786
345	1.386934944
346	1.372934862
347	1.34898402
348	1.325387741
349	1.315830073
350	1.300529804
351	1.28564719
352	1.283503217
353	1.256099178
354	1.241853486
355	1.225254955
356	1.209029985
357	1.188552375
358	1.164519965
359	1.145956027
360	1.129852611
361	1.127893976
362	1.124341297
363	1.106823871
364	1.092829637
365	1.07531689
366	1.058445627
367	1.041603132
368	1.035796654
369	1.019723305
370	1.006740055
371	0.9945024455
372	0.9720120577
373	0.9673716341
374	0.9607554401
375	0.9419647746
376	0.9234438196
377	0.9187105794
378	0.9067997289
379	0.900601655
380	0.8880047996
381	0.8777315176
382	0.871993341
383	0.868868531
384	0.8647155326
385	0.8626671281
386	0.8499503572
387	0.8480010265
388	0.8438589385
389	0.8285709358
390	0.8176437613
391	0.8029687196
392	0.7959527621
393	0.7902985036
394	0.7742015283
395	0.764921201
396	0.7541949219
397	0.7478478659
398	0.7359381415
399	0.7263741825
400	0.7184371132
401	0.7104593735
402	0.6993935861
403	0.6862406607
404	0.6765585243
405	0.6666798045
406	0.6555453541
407	0.643956393
408	0.6356596659
409	0.6324374397
410	0.6207734099
411	0.6177850176
412	0.6120213584
413	0.6035512487
414	0.6028157315
415	0.5947452762
416	0.5805978691
417	0.5716661821
418	0.562629647
419	0.5551978873
420	0.5519283773
421	0.5465473848
422	0.5420363064
423	0.5335795981
424	0.5314405576
425	0.5262148836
426	0.5213513862
427	0.5164528831
428	0.5152394196
429	0.5088865928
430	0.5066442778
431	0.5004423037
432	0.4919478694
433	0.484322766
434	0.4779741541
435	0.4725415023
436	0.4616338144
437	0.4539581076
438	0.4456540807
439	0.4403638852
440	0.4366809776
441	0.4348781827
442	0.4301527854
443	0.4231153065
444	0.4214696107
445	0.415429736
446	0.4142128902
447	0.4109404026
448	0.4053064486
449	0.399303878
450	0.3982051279
451	0.3920169515
452	0.3883746057
453	0.3795251127
454	0.3721977205
455	0.3672545114
456	0.3644524364
457	0.3608959175
458	0.3577070745
459	0.3569510878
460	0.3563988451
461	0.3499250115
462	0.3446073537
463	0.3391710566
464	0.3345572808
465	0.3289237886
466	0.3234721692
467	0.3202855508
468	0.3179194355
469	0.3099123004
470	0.3046598285
471	0.3032292983
472	0.2994278752
473	0.2951458791
474	0.2902405331
475	0.2869403387
476	0.284676256
477	0.2802684414
478	0.2771156333
479	0.2729737033
480	0.2691040618
481	0.2645430674
482	0.2607098579
483	0.2571310251
484	0.2544873332
485	0.2528931046
486	0.2501920298
487	0.2466839578
488	0.2432105099
489	0.2418985504
490	0.2407939295
491	0.2400081165
492	0.23722418
493	0.2340578815
494	0.2323596275
495	0.2315210496
496	0.2260291571
497	0.2206223633
498	0.2192595055
499	0.2146835447
500	0.2126989657
501	0.2111545578
502	0.2061902545
503	0.2029117435
504	0.1999613563
505	0.1970149671
506	0.1951269381
507	0.1913576949
508	0.1889539005
509	0.1884481426
510	0.1868799455
511	0.185218759
512	0.1825883247
513	0.1805879562
514	0.1781085985
515	0.1745070905
516	0.1710957966
517	0.1681167906
518	0.165933277
519	0.1629104104
520	0.1599643287
521	0.158990084
522	0.1571377347
523	0.1558102827
524	0.154449434
525	0.1542454721
526	0.1522597368
527	0.152054678
528	0.1508959366
529	0.1489233113
530	0.1487225863
531	0.1482828342
532	0.1466490217
533	0.1444618374
534	0.1439944805
535	0.1417351556
536	0.1399558113
537	0.1378642135
538	0.1371353529
539	0.1356996175
540	0.1352312072
541	0.1338159978
542	0.1318626294
543	0.1306347866
544	0.1279659351
545	0.1275516196
546	0.1263181091
547	0.1251590632
548	0.1232785319
549	0.1221046835
550	0.1195420082
551	0.1193147286
552	0.1175040052
553	0.1145137938
554	0.1130976056
555	0.1124984943
556	0.1112757721
557	0.1097165561
558	0.1078380066
559	0.1066310849
560	0.1043458321
561	0.1030999935
562	0.1027145412
563	0.1015287
564	0.100035757
565	0.09964871802
566	0.09913913656
567	0.09855757669
568	0.09754532199
569	0.09606711272
570	0.09532011913
571	0.09401613468
572	0.09289956032
573	0.09207345281
574	0.09078497507
575	0.08950188922
576	0.08894273269
577	0.08793931225
578	0.08746865066
579	0.08601353701
580	0.08444922825
581	0.08369923418
582	0.08192835133
583	0.08149807044
584	0.08084439822
585	0.07955710231
586	0.07947418418
587	0.07782889086
588	0.07747637343
589	0.0767605154
590	0.07579769367
591	0.07556164348
592	0.07546657631
593	0.07440102767
594	0.07335520236
595	0.07217530212
596	0.071672535
597	0.07069586604
598	0.06938198387
599	0.06930397059
600	0.0677492881
601	0.0667781421
602	0.06625207414
603	0.06604940097
604	0.0651354601
605	0.06423134777
606	0.063847631
607	0.06266703074
608	0.06259906051
609	0.06217463929
610	0.0615890129
611	0.06058927637
612	0.05980846417
613	0.05882654679
614	0.05863427154
615	0.05850255365
616	0.05794460448
617	0.05787723553
618	0.05704744704
619	0.05631073497
620	0.05591946158
621	0.05520775773
622	0.05426135135
623	0.05410665284
624	0.0539780104
625	0.05315761712
626	0.05250111564
627	0.05162924395
628	0.05144806139
629	0.05047276921
630	0.04956683433
631	0.04928603544
632	0.04867666692
633	0.0485964815
634	0.047832484
635	0.0470604636
636	0.04673298154
637	0.04605056315
638	0.04511596235
639	0.04434910092
640	0.04413385956
641	0.04364144964
642	0.04294806241
643	0.04240741575
644	0.04231396705
645	0.04209991722
646	0.04148840683
647	0.04062833847
648	0.04033654071
649	0.04021060194
650	0.03974644275
651	0.03932402115
652	0.03858402935
653	0.03799001096
654	0.03780631455
655	0.03755039331
656	0.03746132353
657	0.03695081794
658	0.03657646316
659	0.03611937816
660	0.03593070102
661	0.03539363217
662	0.03510456237
663	0.03461253359
664	0.03424634932
665	0.033923172
666	0.0334883135
667	0.0328154238
668	0.03225616705
669	0.03169852054
670	0.03126624664
671	0.03101805341
672	0.03027151104
673	0.02991674659
674	0.02987475813
675	0.02958864945
676	0.02916872648
677	0.02912980414
678	0.02873155412
679	0.02849846744
680	0.02839499709
681	0.02813831666
682	0.02793176351
683	0.02782884306
684	0.02738727207
685	0.02673748442
686	0.02648101234
687	0.02607395505
688	0.0260311113
689	0.02588040219
690	0.02576730536
691	0.02560797839
692	0.02535178903
693	0.02479997038
694	0.02446737538
695	0.02408687996
696	0.02370910816
697	0.02338091266
698	0.02305860314
699	0.02302654994
700	0.022860605
701	0.02282392169
702	0.02276167326
703	0.022656613
704	0.02232449493
705	0.02191838381
706	0.02161416831
707	0.02118622719
708	0.02096796867
709	0.0207516399
710	0.02044687265
711	0.02022578384
712	0.01978965537
713	0.01947849977
714	0.01926692261
715	0.01915043286
716	0.01883217059
717	0.01880408575
718	0.01856476437
719	0.01829001955
720	0.01811774102
721	0.01808016852
722	0.01783191199
723	0.01758835845
724	0.01724547269
725	0.01694626447
726	0.01684689895
727	0.01660709886
728	0.01657494546
729	0.01654610235
730	0.01651280638
731	0.01646664004
732	0.01630127124
733	0.01608310214
734	0.01597382375
735	0.01578812998
736	0.01563707112
737	0.0153384555
738	0.01520762876
739	0.01496313973
740	0.01477871209
741	0.01448838883
742	0.01424052894
743	0.01398958874
744	0.01376048943
745	0.01349488369
746	0.01323805867
747	0.01296742737
748	0.01275359979
749	0.01257416147
750	0.01237266325
751	0.01231209141
752	0.01213631234
753	0.01209833327
754	0.01195284063
755	0.01182483615
756	0.0116629044
757	0.01152218565
758	0.0114167966
759	0.011177108
760	0.0109758249
761	0.01080949552
762	0.01076957122
763	0.01074740145
764	0.0107044896
765	0.01063330078
766	0.0104654019
767	0.01031455418
768	0.01025824319
769	0.01015516409
770	0.01013702539
771	0.01010322578
772	0.009902006432
773	0.009657614656
774	0.009543498713
775	0.009474988853
776	0.009420703446
777	0.009267673057
778	0.009142012954
779	0.009054218658
780	0.0089671626
781	0.008805297677
782	0.008695504651
783	0.008575785817
784	0.008454711275
785	0.008341808282
786	0.00826743394
787	0.008138272769
788	0.007983206344
789	0.007848014716
790	0.007824877332
791	0.007720779563
792	0.007623833111
793	0.007535330548
794	0.007430165571
795	0.007408549486
796	0.007274642032
797	0.007161780579
798	0.007047542387
799	0.006955873914
800	0.006876326987
801	0.006744752134
802	0.006638439023
803	0.006551140195
804	0.006517163922
805	0.006381836191
806	0.006283085499
807	0.006162776244
808	0.006155006483
809	0.006077841656
810	0.005961136619
811	0.005863225169
812	0.005837478667
813	0.005746127517
814	0.005652608958
815	0.005570721626
816	0.005528948814
817	0.0054584707
818	0.005383470458
819	0.005337762193
820	0.005285395946
821	0.005227313314
822	0.005170978146
823	0.005108560013
824	0.005086654305
825	0.005074992127
826	0.004985127368
827	0.004906264304
828	0.004857140626
829	0.004845583538
830	0.004803653326
831	0.004732886955
832	0.004653099937
833	0.004602809192
834	0.004510266084
835	0.004463301325
836	0.004420679685
837	0.004386770381
838	0.004338545208
839	0.004306660241
840	0.004206088462
841	0.004144295197
842	0.004085109033
843	0.004059523553
844	0.004003621776
845	0.003933373847
846	0.003857499207
847	0.003797527186
848	0.003751605862
849	0.00372239829
850	0.003709264401
851	0.00366833222
852	0.003643980309
853	0.003618085841
854	0.003558388963
855	0.003510544281
856	0.003470864309
857	0.003453073175
858	0.003390172424
859	0.003360447987
860	0.003311296791
861	0.003266602869
862	0.003209860158
863	0.003168432294
864	0.003134852115
865	0.003099307563
866	0.003094055573
867	0.003050360487
868	0.00300146116
869	0.002951954359
870	0.002908873288
871	0.002893032349
872	0.002867038159
873	0.002811160375
874	0.002775462496
875	0.002743968841
876	0.002729405067
877	0.002706446564
878	0.002670059081
879	0.002627406792
880	0.002580464204
881	0.002535973429
882	0.002508052588
883	0.002495914047
884	0.00249038337
885	0.002460063598
886	0.002423668586
887	0.002412838534
888	0.002408278017
889	0.002375462088
890	0.002332912598
891	0.00232692735
892	0.002305406591
893	0.002293836525
894	0.002283907312
895	0.002259700181
896	0.002244351927
897	0.002226126761
898	0.002187342356
899	0.002170090253
900	0.002162843604
901	0.002137428985
902	0.002132559935
903	0.002110935924
904	0.0020932421
905	0.002065492693
906	0.002035937556
907	0.002020606692
908	0.002013621238
909	0.001970767878
910	0.001955915711
911	0.00193762375
912	0.001930084581
913	0.00191196336
914	0.001890731298
915	0.001881970444
916	0.001844456437
917	0.001820793197
918	0.001795219108
919	0.001781104872
920	0.001770034037
921	0.001761103802
922	0.001738269325
923	0.001723711432
924	0.001692982547
925	0.001671594075
926	0.001646702337
927	0.001621413534
928	0.001593115913
929	0.001586439444
930	0.001583632518
931	0.001572853878
932	0.001553643497
933	0.001539527999
934	0.001522879802
935	0.001507263289
936	0.001493600849
937	0.001468773833
938	0.001456657244
939	0.001440454741
940	0.001420943509
941	0.001413495292
942	0.001409094673
943	0.001383181317
944	0.001379375869
945	0.001362250145
946	0.001339991665
947	0.001319859496
948	0.001302454237
949	0.001283908846
950	0.001260679812
951	0.001244303066
952	0.001221936897
953	0.001204771408
954	0.001200390437
955	0.001193296941
956	0.001178329864
957	0.001171056009
958	0.001166825266
959	0.001154447029
960	0.001129985197
961	0.001128098402
962	0.001118739743
963	0.001111399931
964	0.00110368349
965	0.001079556341
966	0.001070202333
967	0.001060381165
968	0.001057131626
969	0.001055067497
970	0.00105197945
971	0.001030094552
972	0.001026844784
973	0.00102254607
974	0.001020040123
975	0.0009990431372
976	0.0009853037871
977	0.000966842637
978	0.0009482696325
979	0.0009430206355
980	0.0009307033371
981	0.0009162722995
982	0.0009079922234
983	0.0009008596582
984	0.0008980797673
985	0.0008820299053
986	0.0008763576952
987	0.0008627346391
988	0.0008527755786
989	0.0008493793024
990	0.0008356184001
991	0.0008332850357
992	0.0008241922744
993	0.0008094760201
994	0.0008056486174
995	0.0007860781105
996	0.0007695976751
997	0.0007584727407
998	0.0007534929955
999	0.0007483822194
