iter	Logloss
0	0.6907154717
1	0.6886735189
2	0.686173852
3	0.68422828
4	0.6823177748
5	0.6801166364
6	0.6784166692
7	0.6769464041
8	0.6748574576
9	0.6730209316
10	0.6709573623
11	0.668820566
12	0.6670483506
13	0.6652022778
14	0.6637540835
15	0.6615619706
16	0.6599367753
17	0.6581407069
18	0.6565888248
19	0.6551493863
20	0.6537443893
21	0.6519395356
22	0.6503608316
23	0.6488055222
24	0.6468917107
25	0.6451969704
26	0.64295056
27	0.6415902869
28	0.6397742297
29	0.638402346
30	0.6369439058
31	0.6355703513
32	0.6343897483
33	0.6328734004
34	0.6314531645
35	0.6300433515
36	0.6285930946
37	0.6272833232
38	0.6253839668
39	0.6230914156
40	0.6213693195
41	0.6196992101
42	0.6174490678
43	0.6160722533
44	0.6146831938
45	0.6130857099
46	0.611469873
47	0.6100726931
48	0.6085740277
49	0.6069619132
50	0.6052908731
51	0.6032445744
52	0.6022285521
53	0.6010758193
54	0.5995060147
55	0.5972822892
56	0.5959687543
57	0.5951580786
58	0.5935656929
59	0.5922222795
60	0.5913622081
61	0.5902207992
62	0.5889402358
63	0.5876594886
64	0.5865493761
65	0.585479195
66	0.5841075323
67	0.5825007573
68	0.580867218
69	0.5793502466
70	0.5779430239
71	0.5768083125
72	0.5747722731
73	0.573470924
74	0.5718825039
75	0.5706377251
76	0.5688912653
77	0.5677929226
78	0.5660895791
79	0.5652677706
80	0.5638912701
81	0.5627204942
82	0.5610530278
83	0.5598396269
84	0.5584371047
85	0.5576215924
86	0.5569752166
87	0.5558083147
88	0.5545799972
89	0.5530691608
90	0.5521063679
91	0.5508923104
92	0.5496177772
93	0.5486154599
94	0.5477232334
95	0.5465603904
96	0.5452553833
97	0.5441005672
98	0.5431783657
99	0.542467011
100	0.5413269075
101	0.540338598
102	0.5393531765
103	0.5383667451
104	0.5371648042
105	0.5359218781
106	0.5349464346
107	0.5338906962
108	0.5328569292
109	0.5315338828
110	0.530519939
111	0.5292084094
112	0.5281242974
113	0.5272069205
114	0.5261961799
115	0.5250673239
116	0.5243119616
117	0.5233798095
118	0.5221212045
119	0.5212156889
120	0.5204078042
121	0.5196370489
122	0.5187927082
123	0.5177430317
124	0.5165434649
125	0.5156795705
126	0.5148328745
127	0.5135197719
128	0.5129538507
129	0.512458251
130	0.511594137
131	0.5114324646
132	0.5107552781
133	0.5098211231
134	0.5085983252
135	0.5078371677
136	0.5067887232
137	0.5054106848
138	0.5042830076
139	0.5030573253
140	0.5020391944
141	0.501169162
142	0.5005357917
143	0.4995729711
144	0.4984532831
145	0.4973198031
146	0.496475735
147	0.4954915194
148	0.4946418257
149	0.493529729
150	0.4926350504
151	0.4916193608
152	0.4907701028
153	0.4898533035
154	0.4889092789
155	0.4878976603
156	0.487117167
157	0.4861542478
158	0.4852042032
159	0.4846910373
160	0.484037105
161	0.4830079779
162	0.4822656088
163	0.4812040827
164	0.480456845
165	0.4798612195
166	0.478897598
167	0.4779135388
168	0.4766065712
169	0.4759679437
170	0.4749581408
171	0.4741335038
172	0.4729353196
173	0.4719716102
174	0.4711073434
175	0.4704127508
176	0.4695864805
177	0.4688802122
178	0.4681608001
179	0.4670362257
180	0.4661255546
181	0.465323152
182	0.4645480876
183	0.4637455584
184	0.463087576
185	0.4622585337
186	0.4616732057
187	0.4611071864
188	0.4605336472
189	0.4599287848
190	0.4592139094
191	0.4584508581
192	0.4575307345
193	0.4566440091
194	0.455726857
195	0.4551177916
